security_id|cik|ticker_yahoo|name|first_trade_date|added_asof
1|0000004904|AEP|American Electric Power Company, Inc. - Common Stock|1962-01-02|2026-08-30
2|0000012927|BA|Boeing Company (The) Common Stock|1962-01-02|2026-08-30
3|0000018230|CAT|Caterpillar, Inc. Common Stock|1962-01-02|2026-08-30
4|0001130310|CNP|CenterPoint Energy, Inc (Holding Co) Common Stock|1962-01-02|2026-08-30
5|0000093410|CVX|Chevron Corporation Common Stock|1962-01-02|2026-08-30
6|0001744489|DIS|Walt Disney Company (The) Common Stock|1962-01-02|2026-08-30
7|0000936340|DTE|DTE Energy Company Common Stock|1962-01-02|2026-08-30
8|0001047862|ED|Consolidated Edison, Inc. Common Stock|1962-01-02|2026-08-30
9|0000040533|GD|General Dynamics Corporation Common Stock|1962-01-02|2026-08-30
10|0000040545|GE|GE Aerospace Common Stock|1962-01-02|2026-08-30
11|0000773840|HON|Honeywell International Inc. - Common Stock|1962-01-02|2026-08-30
12|0000047217|HPQ|HP Inc. Common Stock|1962-01-02|2026-08-30
13|0000051143|IBM|International Business Machines Corporation Common Stock|1962-01-02|2026-08-30
14|0000051434|IP|International Paper Company Common Stock|1962-01-02|2026-08-30
15|0000200406|JNJ|Johnson & Johnson Common Stock|1962-01-02|2026-08-30
16|0000021344|KO|Coca-Cola Company (The) Common Stock|1962-01-02|2026-08-30
17|0000056873|KR|Kroger Company (The) Common Stock|1962-01-02|2026-08-30
18|0000936468|LMT|Lockheed Martin Corporation Common Stock|1962-01-02|2026-08-30
19|0000066740|MMM|3M Company Common Stock|1962-01-02|2026-08-30
20|0000764180|MO|Altria Group, Inc.|1962-01-02|2026-08-30
21|0000310158|MRK|Merck & Company, Inc. Common Stock (new)|1962-01-02|2026-08-30
22|0000068505|MSI|Motorola Solutions, Inc. Common Stock|1962-01-02|2026-08-30
23|0000080424|PG|Procter & Gamble Company (The) Common Stock|1962-01-02|2026-08-30
24|0002115436|XOM|ExxonMobil Holdings Corporation Common Stock|1962-01-02|2026-08-30
25|0000101829|RTX|RTX Corporation Common Stock|1962-04-02|2026-08-30
26|0000063908|MCD|McDonald's Corporation Common Stock|1966-07-05|2026-08-30
27|0000004962|AXP|American Express Company Common Stock|1972-06-01|2026-08-30
28|0000014272|BMY|Bristol-Myers Squibb Company Common Stock|1972-06-01|2026-08-30
29|0001666700|DD|DuPont de Nemours, Inc. Common Stock|1972-06-01|2026-08-30
30|0000315189|DE|Deere & Company Common Stock|1972-06-01|2026-08-30
31|0000032604|EMR|Emerson Electric Company Common Stock|1972-06-01|2026-08-30
32|0001551182|ETN|Eaton Corporation, PLC Ordinary Shares|1972-06-01|2026-08-30
33|0000065984|ETR|Entergy Corporation Common Stock|1972-06-01|2026-08-30
34|0000037996|F|Ford Motor Company Common Stock|1972-06-01|2026-08-30
35|0000045012|HAL|Halliburton Company Common Stock|1972-06-01|2026-08-30
36|0000059478|LLY|Eli Lilly and Company Common Stock|1972-06-01|2026-08-30
37|0001004980|PCG|Pacific Gas & Electric Co. Common Stock|1972-06-01|2026-08-30
38|0000077476|PEP|PepsiCo, Inc. - Common Stock|1972-06-01|2026-08-30
39|0000078003|PFE|Pfizer, Inc. Common Stock|1972-06-01|2026-08-30
40|0000097476|TXN|Texas Instruments Incorporated - Common Stock|1972-06-01|2026-08-30
41|0000072971|WFC|Wells Fargo & Company Common Stock|1972-06-01|2026-08-30
42|0000048898|HUBB|Hubbell Inc Common Stock|1972-06-05|2026-08-30
43|0000104169|WMT|Walmart Inc. - Common Stock|1972-08-25|2026-08-30
44|0000005272|AIG|American International Group, Inc. New Common Stock|1973-01-02|2026-08-30
45|0000008818|AVY|Avery Dennison Corporation Common Stock|1973-02-21|2026-08-30
46|0000070858|BAC|Bank of America Corporation Common Stock|1973-02-21|2026-08-30
47|0000009389|BALL|Ball Corporation Common Stock|1973-02-21|2026-08-30
48|0000010795|BDX|Becton, Dickinson and Company Common Stock|1973-02-21|2026-08-30
49|0000021076|CLX|Clorox Company (The) Common Stock|1973-02-21|2026-08-30
50|0000026172|CMI|Cummins Inc. Common Stock|1973-02-21|2026-08-30
51|0000811156|CMS|CMS Energy Corporation Common Stock|1973-02-21|2026-08-30
52|0000064803|CVS|CVS Health Corporation Common Stock|1973-02-21|2026-08-30
53|0000031462|ECL|Ecolab Inc. Common Stock|1973-02-21|2026-08-30
54|0000072741|ES|Eversource Energy (D/B/A) Common Stock|1973-02-21|2026-08-30
55|0001711269|EVRG|Evergy, Inc. - Common Stock|1973-02-21|2026-08-30
56|0000277135|GWW|W.W. Grainger, Inc. Common Stock|1973-02-21|2026-08-30
57|0000352541|LNT|Alliant Energy Corporation - Common Stock|1973-02-21|2026-08-30
58|0000063754|MKC|McCormick & Company, Incorporated Common Stock|1973-02-21|2026-08-30
59|0000062709|MRSH|Marsh Common Stock|1973-02-21|2026-08-30
60|0000753308|NEE|NextEra Energy, Inc. Common Stock|1973-02-21|2026-08-30
61|0001111711|NI|NiSource Inc Common Stock|1973-02-21|2026-08-30
62|0000764622|PNW|Pinnacle West Capital Corporation Common Stock|1973-02-21|2026-08-30
63|0000031791|RVTY|Revvity, Inc. Common Stock|1973-02-21|2026-08-30
64|0000091440|SNA|Snap-On Incorporated Common Stock|1973-02-21|2026-08-30
65|0000064040|SPGI|S&P Global Inc. Common Stock|1973-02-21|2026-08-30
66|0000097210|TER|Teradyne, Inc. - Common Stock|1973-02-21|2026-08-30
67|0000027419|TGT|Target Corporation Common Stock|1973-02-21|2026-08-30
68|0000217346|TXT|Textron Inc. Common Stock|1973-02-21|2026-08-30
69|0001396009|VMC|Vulcan Materials Company (Holding Company) Common Stock|1973-02-21|2026-08-30
70|0000072903|XEL|Xcel Energy Inc. - Common Stock|1973-02-21|2026-08-30
71|0000049826|ITW|Illinois Tool Works Inc. Common Stock|1973-03-13|2026-08-30
72|0000021665|CL|Colgate-Palmolive Company Common Stock|1973-05-02|2026-08-30
73|0001109357|EXC|Exelon Corporation - Common Stock|1973-05-02|2026-08-30
74|0001613103|MDT|Medtronic plc. Ordinary Shares|1973-05-02|2026-08-30
75|0001390777|BNY|The Bank of New York Mellon Corporation Common Stock|1973-05-03|2026-08-30
76|0000827052|EIX|Edison International Common Stock|1973-05-03|2026-08-30
77|0000034903|FRT|Federal Realty Investment Trust Common Stock|1973-05-03|2026-08-30
78|0000077360|PNR|Pentair plc. Ordinary Share|1973-05-03|2026-08-30
79|0000036104|USB|U.S. Bancorp Common Stock|1973-05-03|2026-08-30
80|0000106535|WY|Weyerhaeuser Company Common Stock|1973-05-03|2026-08-30
81|0000096021|SYY|Sysco Corporation Common Stock|1973-05-08|2026-08-30
82|0000011544|WRB|W.R. Berkley Corporation Common Stock|1973-10-23|2026-08-30
83|0000051253|IFF|International Flavors & Fragrances, Inc. Common Stock|1974-12-17|2026-08-30
84|0000024545|TAP|Molson Coors Beverage Company Class B Common Stock|1975-06-12|2026-08-30
85|0000713676|PNC|PNC Financial Services Group, Inc. (The) Common Stock|1975-11-17|2026-08-30
86|0000086312|TRV|The Travelers Companies, Inc. Common Stock|1975-11-17|2026-08-30
